time,user_name,user_color,message
66,ephemeral_defect_,#5F9EA0,"nwero LIYAH! EDM nwero LIYAH! EDM nwero LIYAH! EDM nwero LIYAH! EDM nwero LIYAH! EDM nwero LIYAH! EDM nwero LIYAH! EDM nwero LIYAH! EDM"
66,cloisteroid,,"cloisteroid subscribed with Prime. They've subscribed for 10 months! vedalNURU"
67,crossbow7734,#00FF7F,"Woo HYPEEE"
68,threegale_,#FF0000,"Dance same 5 intro songs"
69,lexzarkien,#008000,"neuroOnline"
69,vingamer999,#8A2BE2,"neuroOnline"
69,ravet7,#008000,"vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer"
69,yoshifan007,#008000,"tutelxdx"
69,mug9n,#B22222,"nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM"
70,glitchybutters,#1E90FF,"vedalCheer vedalDance vedalNURU vedalDance vedalCheer"
70,izzabella33,#1E90FF,"DinoDance DinoDance DinoDance DinoDance"
70,huungri,#008000,"neuroOnline"
70,silenceisforever,#1E90FF,"neuroLebronJam"
70,christianh2000,#DAA520,"vedalCheer vedalEvilCheer"
70,speload,#FF0000,"Dance same 5 intro songs"
70,lagisthemindkiller,#FF69B4,"LagIsTheMindKiller subscribed at Tier 1. They've subscribed for 6 months! Been a wild ride."
70,vixletshowing,#FF69B4,"vedalDance vedalDance vedalDance vedalDance vedalDance vedalDance vedalDance"
71,magicpurple2,,"hi"
71,sleepmo2,,"vedalCheer vedalEvilCheer vedalCheer"
71,l1lycutiepie,#FF69B4,"vedalCheer vedalEvilCheer vedalCheer"
71,chepito87,#FF7F50,"neuroOnline"
72,lamsar_,#8A2BE2,"yooooo"
72,p3h3n,#FF4500,"POGCRAZY"
72,creampuff_soup,,"neuroOnline"
73,thirteendollarsmile,#8A2BE2,"neuroOnline"
73,eiji_kn45,#FF69B4,"neuroOnline"
73,parikonin,#8A2BE2,"xdx hai"
